id,date,branch,staff,amount
1001,2018/7/16,Kobe,Kobayashi,44000
1002,2018/7/10,Kobe,Nagasawa,186340
1003,2018/7/12,Osaka,Sato,155260
1004,2018/7/15,Osaka,Oda,65406
1005,2018/7/11,Osaka,Sato,359790
1006,2018/7/16,Osaka,Oda,144480
1007,2018/7/23,Kobe,Kobayashi,55662
1008,2018/7/15,Kobe,Nakagawa,249050
1009,2018/7/17,Osaka,Oda,51780
1010,2018/7/22,Osaka,Sato,111990
1011,2018/7/23,Osaka,Nashimoto,161488
1012,2018/7/25,Osaka,Sato,10080
1013,2018/7/29,Osaka,Sato,150465
1014,2018/7/30,Osaka,Sato,44800
1015,2018/7/25,Osaka,Hirano,58400
1016,2018/7/31,Kobe,Nakagawa,187380
1017,2018/8/23,Kobe,Nagasawa,69562
1018,2018/8/12,Osaka,Shibata,117600
1019,2018/7/31,Osaka,Oda,34656
1020,2018/8/6,Osaka,Sato,353660
1021,2018/8/2,Osaka,Hirano,110120
1022,2018/8/9,Kobe,Kobayashi,64220
1023,2018/8/2,Osaka,Nashimoto,137600
1024,2018/8/30,Kobe,Nagasawa,4800
1025,2018/8/6,Kobe,Nagasawa,145600
1026,2018/8/12,Osaka,Oda,203728
1027,2018/8/16,Kobe,Nagasawa,53860
1028,2018/8/9,Osaka,Nashimoto,29184
1029,2018/8/14,Osaka,Hirano,42000
1030,2018/8/13,Osaka,Shibata,120080
1031,2018/8/16,Osaka,Hirano,148880
1032,2018/8/16,Osaka,Hirano,35100
1033,2018/9/12,Osaka,Shibata,61320
1034,2018/8/21,Osaka,Sato,8650
1035,2018/8/21,Osaka,Sato,15540
1036,2018/8/23,Osaka,Oda,141480
1037,2018/8/27,Osaka,Sato,117037
1038,2018/8/26,Osaka,Nashimoto,174336
1039,2018/8/30,Osaka,Hirano,301600
1040,2018/8/28,Osaka,Hirano,81900
1041,2018/9/3,Osaka,Sato,8010
1042,2018/8/28,Kobe,Fushimi,47940
1043,2018/9/3,Osaka,Hirano,216900
1044,2018/9/4,Kobe,Nagasawa,49752
1045,2018/9/2,Osaka,Nashimoto,129600
1046,2018/9/11,Osaka,Nashimoto,84870
1047,2018/9/5,Osaka,Sato,188760
1048,2018/9/10,Osaka,Shibata,12160
1049,2018/9/11,Kobe,Nagasawa,105060
1050,2018/9/10,Kobe,Kobayashi,142000
1051,2018/9/11,Kobe,Nagasawa,264500
1052,2018/9/13,Osaka,Sato,34950
