id,date,branch,staff,amount
1001,2018/7/16,神戸,江藤,44000
1002,2018/7/10,神戸,権藤,186340
1003,2018/7/12,大阪,佐藤,155260
1004,2018/7/15,大阪,加藤,65406
1005,2018/7/11,大阪,佐藤,359790
1006,2018/7/16,大阪,加藤,144480
1007,2018/7/23,神戸,江藤,55662
1008,2018/7/15,神戸,後藤,249050
1009,2018/7/17,大阪,加藤,51780
1010,2018/7/22,大阪,佐藤,111990
1011,2018/7/23,大阪,武藤,161488
1012,2018/7/25,大阪,佐藤,10080
1013,2018/7/29,大阪,佐藤,150465
1014,2018/7/30,大阪,佐藤,44800
1015,2018/7/25,大阪,兵藤,58400
1016,2018/7/31,神戸,後藤,187380
1017,2018/8/23,神戸,権藤,69562
1018,2018/8/12,大阪,木藤,117600
1019,2018/7/31,大阪,加藤,34656
1020,2018/8/6,大阪,佐藤,353660
1021,2018/8/2,大阪,兵藤,110120
1022,2018/8/9,神戸,江藤,64220
1023,2018/8/2,大阪,武藤,137600
1024,2018/8/30,神戸,権藤,4800
1025,2018/8/6,神戸,権藤,145600
1026,2018/8/12,大阪,加藤,203728
1027,2018/8/16,神戸,権藤,53860
1028,2018/8/9,大阪,武藤,29184
1029,2018/8/14,大阪,兵藤,42000
1030,2018/8/13,大阪,木藤,120080
1031,2018/8/16,大阪,兵藤,148880
1032,2018/8/16,大阪,兵藤,35100
1033,2018/9/12,大阪,木藤,61320
1034,2018/8/21,大阪,佐藤,8650
1035,2018/8/21,大阪,佐藤,15540
1036,2018/8/23,大阪,加藤,141480
1037,2018/8/27,大阪,佐藤,117037
1038,2018/8/26,大阪,武藤,174336
1039,2018/8/30,大阪,兵藤,301600
1040,2018/8/28,大阪,兵藤,81900
1041,2018/9/3,大阪,佐藤,8010
1042,2018/8/28,神戸,斎藤,47940
1043,2018/9/3,大阪,兵藤,216900
1044,2018/9/4,神戸,権藤,49752
1045,2018/9/2,大阪,武藤,129600
1046,2018/9/11,大阪,武藤,84870
1047,2018/9/5,大阪,佐藤,188760
1048,2018/9/10,大阪,木藤,12160
1049,2018/9/11,神戸,権藤,105060
1050,2018/9/10,神戸,江藤,142000
1051,2018/9/11,神戸,権藤,264500
1052,2018/9/13,大阪,佐藤,34950
1053,2018/9/18,大阪,木藤,60800
1054,2018/9/17,大阪,兵藤,75500
1055,2018/10/9,大阪,佐藤,270880
1056,2018/9/18,神戸,斎藤,111780
1057,2018/9/17,大阪,武藤,95440
1058,2018/10/9,大阪,兵藤,374130
1059,2018/9/23,大阪,武藤,49850
1060,2018/9/25,大阪,木藤,42400
1061,2018/9/24,神戸,斎藤,8880
1062,2018/10/23,大阪,加藤,176200
1063,2018/9/27,大阪,兵藤,33600
1064,2018/9/26,大阪,武藤,26880
1065,2018/10/3,大阪,木藤,161480
1066,2018/10/4,大阪,木藤,18240
1067,2018/10/4,大阪,武藤,209430
1068,2018/10/3,大阪,佐藤,51680
1069,2018/10/8,大阪,武藤,283500
1070,2018/10/10,神戸,権藤,28800
1071,2018/10/4,大阪,兵藤,24040
1072,2018/10/11,神戸,斎藤,119120
1073,2018/10/18,神戸,江藤,51600
1074,2018/10/11,大阪,加藤,14400
1075,2018/10/23,神戸,斎藤,11200
